Шифра,Артикал,Продажна Цена,Единична Цена,Опис,Достапност,Редовна Цена,ДДВ,Последно ажурирање
1,ЛЕБ,28,бр.            ,,Има,28,5,11/4/2025 14:25
2,Сол тузла,38,бр.            ,,Има,38,5,
3,"Шекер 0,900",46,бр.            ,,Има,46,5,
4,ЕКО ЗАЧИН 500Г,70,бр.            ,,Има,70,10,
5,АРКО ПЕНА 200МЛ 1+1,162,бр.            ,,Има,162,18,
6,АЛВА БЛАГОЈ Г 450 ГР,127,бр.            ,,Има,127,5,
7,КУРКУМА,37,бр.            ,,Има,37,10,
8,ЈАЈЦА М 1/30,6.3,бр.            ,,Има,6.3,5,
9,ПЕЛЕНИ ЕЛАН 9-18,177,бр.            ,,Има,177,5,
10,ПЕЛЕНИ ЕЛАН 14-22,140,бр.            ,,Има,140,5,
11,ПЕЛЕНИ ЕЛАН 11-25,200,бр.            ,,Има,200,5,
12,МЕРИКС 2 КГ,142,бр.            ,,Има,142,18,
13,ПЕЧУРКИ 600,57,бр.            ,,Има,57,5,
14,ПЕЛЕНИ ЕЛАН 3КЛ,90,бр.            ,,Има,90,5,
15,БОЈА ЗА КОСА ФЛИРТ 1 +1,150,бр.            ,,Има,150,18,
16,ЧЕТКИ ЗА ЗАБИ КОЛГЕЈТ ,32,бр.            ,,Има,32,18,
17,СЛАМКИ 100/1,30,бр.            ,,Има,30,18,
18,ПЕРФЕКС 24/3 ЦРВЕН,216,бр.            ,,Има,216,18,
19,БРИЛИЈАНТ,93,бр.            ,,Има,93,5,
20,"ЦВЕТ БАНАТ,СУНЦЕ И БИМАЛ",97,бр.            ,,Има,97,5,
21,ЛЕБ ФРИПЕК И ФРАНЦУСКИ,28,бр.            ,,Има,28,5,
22,АЛПИ и МИЛК,64,бр.            ,,Има,64,5,
23,"ПИНГО 0,2",15,бр.            ,,Има,15,18,
24,СПИН 920 МЛ,85,бр.            ,,Има,85,18,
25,ГОРСКА 6Л,60,бр.            ,,Има,60,18,
26,КОРПА,30,бр.            ,,Има,30,18,
27,ДОВЕ КРЕМА 75 МЛ,84,бр.            ,,Има,84,18,
28,ВИРШЛА 500ГР ТИМКО,100,бр.            ,,Има,100,5,
29,ШАМПОН ВОШ И ГО 750 МЛ,220,бр.            ,,Има,220,18,
30,МАЈОНЕЗ ДИЈАМАНТ 285 ГР,72,бр.            ,,Има,72,5,
31,ФЕРИ 650 МЛ,112,бр.            ,,Има,112,18,
32,"ГОРА ГАЗИРАН 1,5 Л",40,бр.            ,,Има,40,18,
33,ДЕДО МРАЗ 40 ГР,43,бр.            ,,Има,43,5,
